"names","scores","logfoldchanges","pvals","pvals_adj","group"
"Ebna1bp2",5.5155673,0.54049027,4.30266701627892e-08,9.66243386572331e-08,"natural killer cell"
"Ino80b",5.5093293,0.7707805,4.45944788868312e-08,1.00048306298723e-07,"natural killer cell"
"Hist1h1c",5.5051656,0.6049262,4.55717633608839e-08,1.02207913282885e-07,"natural killer cell"
"Cdk5rap3",5.504648,0.7613361,4.5775952190159e-08,1.0264932835683e-07,"natural killer cell"
"Srp19",5.4951997,0.5178377,4.81574502497233e-08,1.0788539828233e-07,"natural killer cell"
"Spcs3",5.4872217,0.68357486,5.03874814004443e-08,1.12808640813056e-07,"natural killer cell"
"Ccdc88c",5.486196,1.7915194,5.08298630139319e-08,1.13744176662425e-07,"natural killer cell"
"Tle3",5.4849763,0.7201405,5.10040627444213e-08,1.14115647294293e-07,"natural killer cell"
"H2-M3",5.4759192,0.74982,5.3593366012269e-08,1.19793392462556e-07,"natural killer cell"
"Ankrd13a",5.464551,0.69232804,5.7079911955317e-08,1.27504726304552e-07,"natural killer cell"
"Ldlrap1",5.4606047,1.0526143,5.84166168486866e-08,1.30448784592648e-07,"natural killer cell"
"Mcmbp",5.458049,0.63147795,5.90956586474741e-08,1.31901661701377e-07,"natural killer cell"
"Prps2",5.452414,0.7039501,6.095395638789e-08,1.35940408022399e-07,"natural killer cell"
"Gas7",5.4477034,0.77184564,6.25318350357803e-08,1.39280908085296e-07,"natural killer cell"
"Pde7a",5.43316,1.4157345,6.79481647864411e-08,1.511515503343e-07,"natural killer cell"
"Spag7",5.4323564,0.5267855,6.79881770320823e-08,1.51216394386263e-07,"natural killer cell"
"Fam160b2",5.4303374,1.0590165,6.89405608072414e-08,1.53236715152101e-07,"natural killer cell"
"5430427O19Rik",5.42747,1.3701148,7.00406378820026e-08,1.55557708990963e-07,"natural killer cell"
"Scfd2",5.4201922,1.9721304,7.30244930056944e-08,1.62055470609321e-07,"natural killer cell"
"Sftpb",5.411569,2.4951067,7.65628751059534e-08,1.69772504675052e-07,"natural killer cell"
"2810008D09Rik",5.3961163,0.87813514,8.29317931857085e-08,1.83690293228043e-07,"natural killer cell"
"Bcl2a1b",5.3861327,0.70464146,8.7191887768832e-08,1.93003382036876e-07,"natural killer cell"
"Stxbp2",5.368708,0.7164881,9.61881715531251e-08,2.1241045942117e-07,"natural killer cell"
"Cdc34",5.3647556,0.75480604,9.83197351602197e-08,2.17048689052556e-07,"natural killer cell"
"Ppp1r16b",5.363598,0.6770787,9.86427698984003e-08,2.17727287102526e-07,"natural killer cell"
"Tpp2",5.3603697,0.8225902,1.00683035586368e-07,2.22089769988565e-07,"natural killer cell"
"Nub1",5.347881,0.69887626,1.07612281745629e-07,2.37186601358598e-07,"natural killer cell"
"Ppp1r35",5.3437204,0.6601233,1.10018670474104e-07,2.42337011340191e-07,"natural killer cell"
"Phf1",5.3337097,0.76361567,1.16168657453844e-07,2.55681245915409e-07,"natural killer cell"
"Tsta3",5.314413,0.8083888,1.28932528148594e-07,2.83415399393112e-07,"natural killer cell"
"Uimc1",5.311904,0.75187725,1.30624686448694e-07,2.87044397798306e-07,"natural killer cell"
"Mrpl40",5.3094335,0.6339733,1.3227980252529e-07,2.90589731884893e-07,"natural killer cell"
"Kras",5.308147,0.50230813,1.33085848151415e-07,2.92268195632725e-07,"natural killer cell"
"N4bp1",5.2961392,0.8306708,1.42159755668153e-07,3.11900072286266e-07,"natural killer cell"
"Dock8",5.2923875,0.6356255,1.44867295302116e-07,3.1779035895064e-07,"natural killer cell"
"Ncapd3",5.2806125,1.2310151,1.54680902953032e-07,3.38837584580513e-07,"natural killer cell"
"Mthfs",5.2761555,0.87568367,1.5813467973922e-07,3.46185387112705e-07,"natural killer cell"
"Gtf3c6",5.2656245,0.71910435,1.67195607543121e-07,3.65848797957842e-07,"natural killer cell"
"Rab27a",5.261246,1.0443141,1.71328450092417e-07,3.74774254201217e-07,"natural killer cell"
"Morc3",5.2600265,0.7694637,1.72233426210579e-07,3.76694662415943e-07,"natural killer cell"
"2310004N24Rik",5.2547317,0.6623482,1.77092237793641e-07,3.8713898277721e-07,"natural killer cell"
"Nr1h2",5.2431264,0.5622528,1.88183982724685e-07,4.11128252277203e-07,"natural killer cell"
"Eya1",5.238169,2.1950386,1.9400260805819e-07,4.23707296325394e-07,"natural killer cell"
"Nudt16l1",5.235713,0.7479971,1.95901212820449e-07,4.2765262406672e-07,"natural killer cell"
